iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
6,30,10,JuliaAIC_NeldMeader_AGP1,950.9006581887628,0.02376565388193491,0.15078919465481871,8.167,0.40539020757756156,0.21684835490969362,0.1789342638537497,0.15156108831092474,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
6,30,10,JuliaAIC_bobyqa_AGP1,950.9008470166721,0.023477001825617905,0.15249747429401017,1.093,0.4009974566911294,0.21120547385922595,0.17852646409229286,0.15136903123888965,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
6,30,10,JuliaLRT_Fast,0.0,0.0,0.4981914640978825,0.598,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
6,30,10,JuliaLRT_Slow,0.0,0.0,0.42013169749952994,0.82,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,Julia,0.014961004257202148
7,30,10,NelderMead_nAGQ0,919.0818346563287,0.03253262134798018,0.10434171777220103,1.98478102684021,0.45811063904701615,-0.2740608410123092,0.21429024936212643,0.16874007640866012,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,NelderMead_nAGQ1,919.0640465914065,0.03528446466325182,0.42914588028261264,4.642230987548828,0.4692071437234737,-0.27889710262191747,0.22289293068538946,0.3527422550920326,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,Bobyqa_nAGQ0,919.0818346563287,0.03253262134798018,0.10434171777220103,1.9255709648132324,0.45811063904701615,-0.2740608410123092,0.21429024936212643,0.16874007640866012,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,Bobyqa_nAGQ1,919.0640454958443,0.03529260284649126,0.42898794049838546,4.229930877685547,0.4691755646019545,-0.27899191112347893,0.2228878289283356,0.3527414369058656,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,nloptwrap_nAGQ0,920.4748368029364,0.025819164873425185,0.14716792013898866,0.4541480541229248,0.4623254235576187,-0.2450436872272557,0.2074211844124917,0.1690413693407714,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,nloptwrap_nAGQ1,920.4555696756702,0.029348164793117127,0.4814887764851272,1.193248987197876,0.4741109361792753,-0.24959599934762622,0.21760405988009515,0.35458506426491904,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
7,30,10,R: LRT,0.0,0.0,1.0,0.6581571102142334,0.0,0.0,0.0,0.0,2,5,8,-0.025,0.05,0,0.108,0.1,0.2,0.2,R,0.01695394515991211
