iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,Coefficients_Accuracy,Coefficients_Interaction,SEs_Accuracy,SEs_Interaction,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program,Duration_SimulateDataset
3,30,10,R: LRT,0.0,0.0,0.05557352561513393,0.5813939571380615,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.01695704460144043
3,30,10,JuliaAIC_NeldMeader_AGP0,1037.2721622980557,0.43905439908496974,4.294230259416471e-5,3.063,-0.2424212757543093,-0.5119086625714443,0.3132903815037611,0.12512889382638298,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
3,30,10,JuliaAIC_bobyqa_AGP0,1037.5111748882925,0.42956810632133213,5.2198500135572257e-5,0.59,-0.25356434863011523,-0.5231497201645958,0.3137387843059203,0.12545494851252134,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
3,30,10,JuliaAIC_NeldMeader_AGP1,1037.2513484375568,0.41897424114987436,3.045721017318273e-5,14.039,-0.2487796959083397,-0.5233016314823036,0.31371015631428517,0.12544577391770034,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
3,30,10,JuliaAIC_bobyqa_AGP1,1037.2515755268437,0.42776381600364477,3.0255250842248927e-5,8.544,-0.24628178135374323,-0.5067576974862451,0.3117763487021171,0.12526272497711602,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
3,30,10,JuliaLRT_Fast,0.0,0.0,0.06101700705046532,0.684,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
3,30,10,JuliaLRT_Slow,0.0,0.0,0.052702338365094525,5.538,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.01695704460144043
4,30,10,NelderMead_nAGQ0,941.4108668155369,0.13172584601157006,0.9878125907252052,1.065183162689209,0.29475154866889514,0.0020400131670265534,0.1955453425957415,0.1335502629082639,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,NelderMead_nAGQ1,941.3760773290952,0.14454373365480547,0.9920235829103543,5.195106029510498,0.3113264613676405,0.002801899969605625,0.2133720976525223,0.2802706357571749,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,Bobyqa_nAGQ0,941.4108668155369,0.13172584601157006,0.9878125907252052,1.078084945678711,0.29475154866889514,0.0020400131670265534,0.1955453425957415,0.1335502629082639,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,Bobyqa_nAGQ1,941.3760773088162,0.14521520038646937,0.9920344619049856,2.6718859672546387,0.3113300409002649,0.002805848015395755,0.21373132161059188,0.2810488878515534,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,nloptwrap_nAGQ0,943.6376039916166,0.11700273364595412,0.908492544577456,0.4767577648162842,0.26715750189026843,0.015078770881001045,0.17043767387033287,0.1311879981387487,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,nloptwrap_nAGQ1,943.6138111839248,0.15472195403135047,0.9561536104757271,1.2825939655303955,0.26920607268164204,0.01591058892872368,0.18917554810301154,0.2893834684837396,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,R: LRT,0.0,0.0,1.0,0.458723783493042,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.016920804977416992
4,30,10,JuliaAIC_NeldMeader_AGP0,940.8553892598726,0.13803475126956377,0.9462796696175818,4.201,0.2907775979621512,0.00897330015264375,0.1960541668472956,0.13317572384982815,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
4,30,10,JuliaAIC_bobyqa_AGP0,940.8553878507098,0.1380026337776633,0.9462304889408001,1.557,0.3073904468498029,0.009984951237630523,0.1963267652238218,0.13336691994534713,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
4,30,10,JuliaAIC_NeldMeader_AGP1,940.8215183938329,0.11741692106357433,0.9403195185775747,13.157,0.32701465618146164,-0.0017982352978602604,0.19777390374209505,0.13337212774431526,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
4,30,10,JuliaAIC_bobyqa_AGP1,941.4074552677444,0.09823376656468398,0.9892425746259979,1.572,0.2907840222729932,0.008981346847130325,0.19604251489139388,0.1331730433730684,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
4,30,10,JuliaLRT_Fast,0.0,0.0,0.8190125252855881,1.552,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
4,30,10,JuliaLRT_Slow,0.0,0.0,1.0,3.209,0.0,0.0,0.0,0.0,2,5,8,0,0,0,0.108,0.1,0.2,0.2,Julia,0.016920804977416992
5,30,10,NelderMead_nAGQ0,1029.761760305793,0.6355163867378726,0.018940711047650206,0.6664910316467285,-0.09519368487935796,-0.3973225390377947,0.20084035061257033,0.16931147930973425,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,NelderMead_nAGQ1,1029.7307535380996,0.6374084396115578,0.13286596352440852,3.826220989227295,-0.09869808666509147,-0.40393402316194477,0.20940544302991684,0.2687705111837601,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,Bobyqa_nAGQ0,1029.761760305793,0.6355163867378726,0.018940711047650206,0.6585931777954102,-0.09519368487935796,-0.3973225390377947,0.20084035061257033,0.16931147930973425,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,Bobyqa_nAGQ1,1029.7307535127134,0.6373786971703207,0.13284078759641724,1.9719419479370117,-0.09870769360343572,-0.4039434803079495,0.2094073182259595,0.2687593463232837,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
5,30,10,nloptwrap_nAGQ0,1029.1341827783713,0.6507011216142501,0.04003961077350898,0.34416794776916504,-0.09069687892747315,-0.35261268980619265,0.20030742864641268,0.17172639897375064,2,5,8,0,0,0,0.108,0.1,0.2,0.2,R,0.015645980834960938
