n,ConditionsOfInterest,Standard1,Standard2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision,power_Accuracy_Twolevel,power_Precision_Twolevel,Duration
10,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.11,0.16,0.09,0.18,15.06319525
12,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.14,0.16,0.14,0.2,17.8456757
14,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.3,0.27,0.27,0.23,20.48953777
16,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.28,0.21,0.2,0.24,24.21965185
18,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.29,0.33,0.24,0.34,27.31058237
20,2,5,6,40,0.0125,-0.1,0,0.15,0.1,0.2,0.2,0.42,0.26,0.29,0.31,30.31003538
10,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.12,0.09,0.08,0.09,14.69411068
12,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.15,0.09,0.17,0.05,17.50659663
14,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.23,0.08,0.17,0.13,20.7794768
16,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.23,0.07,0.2,0.08,23.97456795
18,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.29,0.08,0.24,0.05,27.14739702
20,2,5,6,40,0.0125,-0.05,0,0.15,0.1,0.2,0.2,0.4,0.11,0.3,0.12,30.52883521
10,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.13,0.04,0.17,0.03,14.40883915
12,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.14,0.05,0.15,0.05,17.76212223
14,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.19,0.04,0.17,0.03,20.63668647
16,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.33,0.02,0.19,0.03,24.03482858
18,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.37,0.04,0.24,0.06,26.52694658
20,2,5,6,40,0.0125,0,0,0.15,0.1,0.2,0.2,0.28,0.04,0.19,0.05,31.16821945
10,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.14,0.09,0.14,0.06,14.73149297
12,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.15,0.05,0.08,0.05,17.84757232
14,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.19,0.11,0.15,0.09,20.59355044
16,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.25,0.1,0.21,0.06,23.80736817
18,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.28,0.06,0.23,0.07,26.33768928
20,2,5,6,40,0.0125,0.05,0,0.15,0.1,0.2,0.2,0.39,0.12,0.28,0.16,30.64734213
10,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.11,0.11,0.08,0.1,14.6338074
12,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.16,0.2,0.18,0.18,17.51670702
14,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.26,0.12,0.2,0.2,19.99977672
16,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.25,0.21,0.18,0.21,23.38997605
18,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.35,0.26,0.25,0.22,26.92206463
20,2,5,6,40,0.0125,0.1,0,0.15,0.1,0.2,0.2,0.32,0.29,0.3,0.28,30.40530973
10,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.6,0.2,0.59,0.19,15.0161652
12,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.67,0.09,0.64,0.16,17.55432933
14,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.84,0.21,0.75,0.21,21.03092687
16,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.8,0.23,0.79,0.28,24.32235118
18,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.86,0.36,0.87,0.37,27.55696147
20,2,5,6,40,0.025,-0.1,0,0.15,0.1,0.2,0.2,0.92,0.3,0.87,0.33,30.5552599
10,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.57,0.04,0.56,0.06,14.80339348
12,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.66,0.07,0.63,0.09,17.7561232
14,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.77,0.08,0.71,0.06,20.86969723
16,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.83,0.05,0.72,0.05,23.86318577
18,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.92,0.12,0.83,0.12,27.16832273
20,2,5,6,40,0.025,-0.05,0,0.15,0.1,0.2,0.2,0.94,0.09,0.93,0.09,30.6115754
10,2,5,6,40,0.025,0,0,0.15,0.1,0.2,0.2,0.53,0.07,0.53,0.05,14.81938712
